id,date_detection,priorite,score,statut,titre,organisme,type_financement,zone,themes,montant,deadline,lien,eligibilite_ambition_campus,pieces_probables,responsable,prochaine_action,notes
c6ae1bf0ad,2026-06-20,B - intéressant,45,nouveau,"« Fabriqué à Paris » : créateurs et artisans, c’est - Ville de Paris Ville de Paris",Ville de Paris - Appels à projets,appel à projets,Paris,vie associative,Jusqu'au 23/09/2024,Jusqu'au 23/09/2024,https://www.paris.fr/pages/fabrique-a-paris-postulez-des-maintenant-21595,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; association; associations
7dee23a15d,2026-06-20,B - intéressant,45,nouveau,"Fête enfantine sur l'esplanade Claude Luter, - Ville de Paris Ville de Paris",Ville de Paris - Appels à projets,appel à projets,Paris,,790 euros,candidature jusqu'au 5 juin à 12h00,https://www.paris.fr/pages/fete-enfantine-sur-l-esplanade-claude-luter-anciennement-place-maquis-du-vercors-20e-35231,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; appel a manifestation; montant détecté
93bd3d0179,2026-06-20,B - intéressant,44,nouveau,Le fonds de dotation - Fondation la France s’engage,La France s'engage,subvention,France,égalité des chances; éducation/orientation; insertion; Europe,,,https://fondationlafrancesengage.org/fonds-de-dotation/,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; education; éducation; insertion; inclusion
142d708dd8,2026-06-20,B - intéressant,44,nouveau,Le concours - Fondation la France s’engage,La France s'engage,subvention,France,égalité des chances; éducation/orientation; insertion; vie associative,"jusqu’à 300 000 € sur 3 ans – et un accompagnement adapté au changement d’échelle, la F",,https://fondationlafrancesengage.org/le-concours/,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,association; associations; education; éducation; insertion; inclusion; montant détecté
b40a68cfd1,2026-06-20,B - intéressant,43,nouveau,Lutte contre le décrochage scolaire | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; éducation/orientation; insertion; vie associative,,,https://www.iledefrance.fr/aides-et-appels-a-projets/lutte-contre-le-decrochage-scolaire,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; association; associations; etudiant; étudiant; orientation; malus: marches publics; malus: marchés publics
6dd8bb7b5f,2026-06-20,B - intéressant,42,nouveau,Fonds de soutien cinéma international (aide à la production) | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; insertion; vie associative,,,https://www.iledefrance.fr/aides-et-appels-a-projets/fonds-de-soutien-cinema-international-aide-la-production,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; association; associations; etudiant; étudiant; malus: marches publics; malus: marchés publics
7d9ef91847,2026-06-20,B - intéressant,42,nouveau,Lauréats internationaux - Fondation la France s’engage,La France s'engage,subvention,France,égalité des chances; éducation/orientation; insertion; vie associative,,,https://fondationlafrancesengage.org/laureats-prix-international/,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,association; education; éducation; insertion; inclusion
8d519bea5e,2026-06-20,B - intéressant,40,nouveau,Découvrez les 43 finalistes 2026 - Fondation la France s’engage,La France s'engage,subvention,France,égalité des chances; éducation/orientation; insertion,,,https://fondationlafrancesengage.org/le-concours/decouvrez-les-44-finalistes-2026/,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,education; éducation; insertion; inclusion
07ee9ba5bf,2026-06-20,B - intéressant,39,nouveau,Professionnels franciliens : construire ou renforcer un projet | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; insertion; vie associative,,,https://www.iledefrance.fr/professionnels-construire-ou-renforcer-un-projet,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; association; associations; etudiant; étudiant; malus: marches publics; malus: marchés publics
5f23cdc673,2026-06-20,B - intéressant,39,nouveau,Collectivités franciliennes : développer votre territoire,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; insertion; vie associative,,,https://www.iledefrance.fr/collectivites-developper-votre-territoire,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; association; associations; etudiant; étudiant; malus: marches publics; malus: marchés publics
